agente,size,dirt_rate,total_dirt,performance,steps,efectividad,eficiencia
SimpleReflexAgent,2x2,0.4,1,1,1,1.0,1.0
SimpleReflexAgent,2x2,0.4,1,1,1,1.0,1.0
SimpleReflexAgent,2x2,0.4,1,1,1,1.0,1.0
SimpleReflexAgent,2x2,0.4,1,1,4,1.0,0.25
SimpleReflexAgent,2x2,0.4,1,1,19,1.0,0.05263157894736842
SimpleReflexAgent,2x2,0.4,1,1,16,1.0,0.0625
SimpleReflexAgent,2x2,0.4,1,1,18,1.0,0.05555555555555555
SimpleReflexAgent,2x2,0.4,1,1,1,1.0,1.0
SimpleReflexAgent,2x2,0.4,1,1,1,1.0,1.0
SimpleReflexAgent,2x2,0.4,1,1,1,1.0,1.0
SimpleReflexAgent,128x128,0.2,3276,66,1000,0.020146520146520148,0.066
SimpleReflexAgent,128x128,0.2,3276,62,1000,0.018925518925518924,0.062
SimpleReflexAgent,128x128,0.2,3276,50,1000,0.015262515262515262,0.05
SimpleReflexAgent,128x128,0.2,3276,36,1000,0.01098901098901099,0.036
SimpleReflexAgent,128x128,0.2,3276,66,1000,0.020146520146520148,0.066
SimpleReflexAgent,128x128,0.2,3276,45,1000,0.013736263736263736,0.045
SimpleReflexAgent,128x128,0.2,3276,63,1000,0.019230769230769232,0.063
SimpleReflexAgent,128x128,0.2,3276,43,1000,0.013125763125763126,0.043
SimpleReflexAgent,128x128,0.2,3276,55,1000,0.016788766788766788,0.055
SimpleReflexAgent,128x128,0.2,3276,40,1000,0.01221001221001221,0.04
SimpleReflexAgent,4x4,0.1,1,1,35,1.0,0.02857142857142857
SimpleReflexAgent,4x4,0.1,1,1,43,1.0,0.023255813953488372
SimpleReflexAgent,4x4,0.1,1,1,50,1.0,0.02
SimpleReflexAgent,4x4,0.1,1,1,63,1.0,0.015873015873015872
SimpleReflexAgent,4x4,0.1,1,1,45,1.0,0.022222222222222223
SimpleReflexAgent,4x4,0.1,1,1,113,1.0,0.008849557522123894
SimpleReflexAgent,4x4,0.1,1,1,2,1.0,0.5
SimpleReflexAgent,4x4,0.1,1,1,27,1.0,0.037037037037037035
SimpleReflexAgent,4x4,0.1,1,1,5,1.0,0.2
SimpleReflexAgent,4x4,0.1,1,1,15,1.0,0.06666666666666667
SimpleReflexAgent,8x8,0.2,12,12,843,1.0,0.014234875444839857
SimpleReflexAgent,8x8,0.2,12,12,463,1.0,0.02591792656587473
SimpleReflexAgent,8x8,0.2,12,12,486,1.0,0.024691358024691357
SimpleReflexAgent,8x8,0.2,12,12,726,1.0,0.01652892561983471
SimpleReflexAgent,8x8,0.2,12,12,392,1.0,0.030612244897959183
SimpleReflexAgent,8x8,0.2,12,12,323,1.0,0.03715170278637771
SimpleReflexAgent,8x8,0.2,12,11,1000,0.9166666666666666,0.011
SimpleReflexAgent,8x8,0.2,12,12,290,1.0,0.041379310344827586
SimpleReflexAgent,8x8,0.2,12,12,567,1.0,0.021164021164021163
SimpleReflexAgent,8x8,0.2,12,12,700,1.0,0.017142857142857144
SimpleReflexAgent,64x64,0.8,3276,200,1000,0.06105006105006105,0.2
SimpleReflexAgent,64x64,0.8,3276,190,1000,0.057997557997558,0.19
SimpleReflexAgent,64x64,0.8,3276,189,1000,0.057692307692307696,0.189
SimpleReflexAgent,64x64,0.8,3276,181,1000,0.05525030525030525,0.181
SimpleReflexAgent,64x64,0.8,3276,135,1000,0.04120879120879121,0.135
SimpleReflexAgent,64x64,0.8,3276,215,1000,0.06562881562881563,0.215
SimpleReflexAgent,64x64,0.8,3276,198,1000,0.06043956043956044,0.198
SimpleReflexAgent,64x64,0.8,3276,206,1000,0.06288156288156288,0.206
SimpleReflexAgent,64x64,0.8,3276,168,1000,0.05128205128205128,0.168
SimpleReflexAgent,64x64,0.8,3276,183,1000,0.055860805860805864,0.183
SimpleReflexAgent,64x64,0.4,1638,98,1000,0.05982905982905983,0.098
SimpleReflexAgent,64x64,0.4,1638,100,1000,0.06105006105006105,0.1
SimpleReflexAgent,64x64,0.4,1638,76,1000,0.0463980463980464,0.076
SimpleReflexAgent,64x64,0.4,1638,97,1000,0.059218559218559216,0.097
SimpleReflexAgent,64x64,0.4,1638,111,1000,0.06776556776556776,0.111
SimpleReflexAgent,64x64,0.4,1638,111,1000,0.06776556776556776,0.111
SimpleReflexAgent,64x64,0.4,1638,64,1000,0.03907203907203907,0.064
SimpleReflexAgent,64x64,0.4,1638,114,1000,0.0695970695970696,0.114
SimpleReflexAgent,64x64,0.4,1638,99,1000,0.06043956043956044,0.099
SimpleReflexAgent,64x64,0.4,1638,125,1000,0.07631257631257632,0.125
SimpleReflexAgent,2x2,0.8,3,3,18,1.0,0.16666666666666666
SimpleReflexAgent,2x2,0.8,3,3,13,1.0,0.23076923076923078
SimpleReflexAgent,2x2,0.8,3,3,16,1.0,0.1875
SimpleReflexAgent,2x2,0.8,3,3,9,1.0,0.3333333333333333
SimpleReflexAgent,2x2,0.8,3,3,18,1.0,0.16666666666666666
SimpleReflexAgent,2x2,0.8,3,3,33,1.0,0.09090909090909091
SimpleReflexAgent,2x2,0.8,3,3,21,1.0,0.14285714285714285
SimpleReflexAgent,2x2,0.8,3,3,23,1.0,0.13043478260869565
SimpleReflexAgent,2x2,0.8,3,3,20,1.0,0.15
SimpleReflexAgent,2x2,0.8,3,3,9,1.0,0.3333333333333333
SimpleReflexAgent,128x128,0.8,13107,197,1000,0.015030136568245976,0.197
SimpleReflexAgent,128x128,0.8,13107,212,1000,0.01617456321049821,0.212
SimpleReflexAgent,128x128,0.8,13107,185,1000,0.01411459525444419,0.185
SimpleReflexAgent,128x128,0.8,13107,228,1000,0.01739528496223392,0.228
SimpleReflexAgent,128x128,0.8,13107,147,1000,0.01121538109407187,0.147
SimpleReflexAgent,128x128,0.8,13107,203,1000,0.015487907225146869,0.203
SimpleReflexAgent,128x128,0.8,13107,173,1000,0.013199053940642405,0.173
SimpleReflexAgent,128x128,0.8,13107,206,1000,0.015716792553597314,0.206
SimpleReflexAgent,128x128,0.8,13107,211,1000,0.016098268101014723,0.211
