algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
BFS,0,5,4,13,3.695487976074219e-05,True
DFS,0,5,4,13,0.0003364086151123047,True
UCS,0,5,4,13,0.00010538101196289062,True
A*,0,5,4,13,3.838539123535156e-05,True
BFS,1,5,4,22,2.2172927856445312e-05,True
DFS,1,29,28,46,2.5033950805664062e-05,True
UCS,1,5,4,22,7.891654968261719e-05,True
A*,1,5,4,22,5.030632019042969e-05,True
BFS,2,10,9,27,6.67572021484375e-05,True
DFS,2,14,13,49,0.0002734661102294922,True
UCS,2,10,9,27,0.00023674964904785156,True
A*,2,10,9,27,0.00023603439331054688,True
BFS,3,20,19,100,0.00023627281188964844,True
DFS,3,72,71,170,7.414817810058594e-05,True
UCS,3,20,19,100,0.0008034706115722656,True
A*,3,12,0,0,0.0040585994720458984,False
BFS,4,21,20,92,0.00019431114196777344,True
DFS,4,71,70,178,0.00020074844360351562,True
UCS,4,21,20,92,0.0006203651428222656,True
A*,4,11,0,0,0.0031642913818359375,False
BFS,5,3,2,11,9.059906005859375e-06,True
DFS,5,3,2,11,0.0002620220184326172,True
UCS,5,3,2,11,3.218650817871094e-05,True
A*,5,3,2,11,1.7642974853515625e-05,True
BFS,6,24,23,122,0.00022983551025390625,True
DFS,6,86,85,220,0.00020837783813476562,True
UCS,6,24,23,122,0.0007884502410888672,True
A*,6,11,0,0,0.0037298202514648438,False
BFS,7,19,18,45,0.0001773834228515625,True
DFS,7,31,30,93,2.7179718017578125e-05,True
UCS,7,19,18,45,0.0006043910980224609,True
A*,7,19,18,45,0.0031218528747558594,True
BFS,8,5,4,13,2.5510787963867188e-05,True
DFS,8,45,44,107,3.981590270996094e-05,True
UCS,8,5,4,13,7.748603820800781e-05,True
A*,8,5,4,13,2.2649765014648438e-05,True
BFS,9,12,11,92,0.00013375282287597656,True
DFS,9,74,73,244,0.00020599365234375,True
UCS,9,12,11,92,0.0004286766052246094,True
A*,9,12,11,92,5.054473876953125e-05,True
BFS,10,22,21,138,0.0001552104949951172,True
DFS,10,104,103,256,9.965896606445312e-05,True
UCS,10,22,21,138,0.0005388259887695312,True
A*,10,11,0,0,0.003658294677734375,False
BFS,11,17,16,43,0.00011706352233886719,True
DFS,11,33,32,95,0.0002663135528564453,True
UCS,11,17,16,43,0.00040435791015625,True
A*,11,15,0,0,0.003596067428588867,False
BFS,12,18,17,62,0.0001220703125,True
DFS,12,22,21,66,0.0002472400665283203,True
UCS,12,18,17,62,0.0004050731658935547,True
A*,12,18,17,62,0.0028204917907714844,True
BFS,13,9,8,35,7.033348083496094e-05,True
DFS,13,41,40,103,3.981590270996094e-05,True
UCS,13,9,8,35,0.00025343894958496094,True
A*,13,9,8,35,0.0003001689910888672,True
BFS,14,12,11,20,7.104873657226562e-05,True
DFS,14,36,35,98,3.0994415283203125e-05,True
UCS,14,12,11,20,0.00025963783264160156,True
A*,14,12,11,20,0.0002346038818359375,True
BFS,15,23,22,76,0.0001766681671142578,True
DFS,15,33,32,122,0.0002448558807373047,True
UCS,15,23,22,76,0.0006132125854492188,True
A*,15,13,0,0,0.0037331581115722656,False
BFS,16,11,10,100,9.34600830078125e-05,True
DFS,16,95,94,256,0.00012993812561035156,True
UCS,16,11,10,100,0.00032901763916015625,True
A*,16,11,10,100,4.458427429199219e-05,True
BFS,17,16,15,51,0.0001850128173828125,True
DFS,17,86,85,265,7.891654968261719e-05,True
UCS,17,16,15,51,0.0006575584411621094,True
A*,17,11,0,0,0.0035827159881591797,False
BFS,18,6,5,50,3.743171691894531e-05,True
DFS,18,76,75,192,7.128715515136719e-05,True
UCS,18,6,5,50,0.0001518726348876953,True
A*,18,6,5,50,2.6226043701171875e-05,True
BFS,19,13,12,75,0.00012612342834472656,True
DFS,19,91,90,261,0.00013494491577148438,True
UCS,19,13,12,75,0.00045299530029296875,True
A*,19,13,12,75,0.0029261112213134766,True
BFS,20,20,19,136,0.00017690658569335938,True
DFS,20,96,95,212,9.179115295410156e-05,True
UCS,20,20,19,136,0.0006172657012939453,True
A*,20,10,0,0,0.0034322738647460938,False
BFS,21,14,13,31,0.00011658668518066406,True
DFS,21,36,35,107,0.0001423358917236328,True
UCS,21,14,13,31,0.0003895759582519531,True
A*,21,14,13,31,0.0005447864532470703,True
BFS,22,19,18,135,0.00022220611572265625,True
DFS,22,111,110,281,0.00014019012451171875,True
UCS,22,19,18,135,0.0007829666137695312,True
A*,22,10,0,0,0.0037276744842529297,False
BFS,23,13,12,48,0.0001437664031982422,True
DFS,23,35,34,70,0.00010466575622558594,True
UCS,23,13,12,48,0.0005242824554443359,True
A*,23,13,12,48,0.003011941909790039,True
BFS,24,18,17,125,0.00014710426330566406,True
DFS,24,142,141,375,0.0001747608184814453,True
UCS,24,18,17,125,0.0005233287811279297,True
A*,24,12,0,0,0.003495931625366211,False
BFS,25,7,6,51,4.982948303222656e-05,True
DFS,25,41,40,85,0.00022673606872558594,True
UCS,25,7,6,51,0.00019240379333496094,True
A*,25,7,6,51,7.557868957519531e-05,True
BFS,26,8,7,52,2.0742416381835938e-05,True
DFS,26,42,41,86,0.00025963783264160156,True
UCS,26,8,7,52,7.05718994140625e-05,True
A*,26,8,7,52,0.00018978118896484375,True
BFS,27,12,11,101,9.369850158691406e-05,True
DFS,27,56,55,145,0.000118255615234375,True
UCS,27,12,11,101,0.00032639503479003906,True
A*,27,12,11,101,8.511543273925781e-05,True
BFS,28,28,27,135,0.00026106834411621094,True
DFS,28,80,79,241,0.00014853477478027344,True
UCS,28,28,27,135,0.0008177757263183594,True
A*,28,10,0,0,0.003717184066772461,False
BFS,29,11,10,55,0.00010251998901367188,True
DFS,29,55,54,153,0.00020766258239746094,True
UCS,29,11,10,55,0.00034046173095703125,True
A*,29,11,10,55,0.0007877349853515625,True
