algorithm_name,env_n,size,best_solution,H,states,time
random,0,4,"[2, 0, 3, 1]",0,68,0.0001610409999557305
HC,0,4,"[1, 3, 0, 2]",0,13,2.213500192738138e-05
SA,0,4,"[2, 0, 3, 1]",0,434,0.0006738970005244482
GA,0,4,"[2, 0, 3, 1]",0,500,0.001086517997464398
random,1,4,"[2, 0, 3, 1]",0,21,5.0897997425636277e-05
HC,1,4,"[1, 3, 2, 0]",1,25,2.9383001674432307e-05
SA,1,4,"[2, 0, 3, 1]",0,548,0.0008002370013855398
GA,1,4,"[2, 0, 3, 1]",0,500,0.001087958000425715
random,2,4,"[1, 3, 0, 2]",0,194,0.0006499129995063413
HC,2,4,"[1, 3, 0, 2]",0,25,4.868900214205496e-05
SA,2,4,"[2, 0, 3, 1]",0,86,0.00021813800049130805
GA,2,4,"[1, 3, 0, 2]",0,500,0.0017922169972734991
random,3,4,"[2, 0, 3, 1]",0,27,9.609699918655679e-05
HC,3,4,"[1, 0, 2, 3]",2,25,4.096999691682868e-05
SA,3,4,"[2, 0, 3, 1]",0,69,0.00019230299949413165
GA,3,4,"[2, 0, 3, 1]",0,500,0.0017779810004867613
random,4,4,"[1, 3, 0, 2]",0,124,0.000426137001340976
HC,4,4,"[1, 2, 0, 3]",1,13,2.65240014414303e-05
SA,4,4,"[2, 0, 3, 1]",0,388,0.0009827030007727444
GA,4,4,"[1, 3, 0, 2]",0,500,0.0016916320018935949
random,5,4,"[2, 0, 3, 1]",0,146,0.0004951310002070386
HC,5,4,"[1, 2, 0, 3]",1,25,4.2808998841792345e-05
SA,5,4,"[1, 3, 0, 2]",0,80,0.0002154279973183293
GA,5,4,"[2, 0, 3, 1]",0,500,0.0017208649987878744
random,6,4,"[1, 3, 0, 2]",0,414,0.001399513002979802
HC,6,4,"[1, 3, 2, 0]",1,25,4.2359999497421086e-05
SA,6,4,"[1, 3, 0, 2]",0,8,3.343199932714924e-05
GA,6,4,"[1, 3, 0, 2]",0,500,0.001710577002086211
random,7,4,"[1, 3, 0, 2]",0,182,0.0006270689991652034
HC,7,4,"[2, 1, 3, 0]",1,13,2.6122997951461002e-05
SA,7,4,"[2, 0, 3, 1]",0,170,0.0004507410012593027
GA,7,4,"[1, 3, 0, 2]",0,500,0.0017211149970535189
random,8,4,"[1, 3, 0, 2]",0,120,0.0003770889998122584
HC,8,4,"[0, 2, 3, 1]",1,25,3.62110004061833e-05
SA,8,4,"[1, 3, 0, 2]",0,129,0.00019938200057367794
GA,8,4,"[1, 3, 0, 2]",0,500,0.0010696019999159034
random,9,4,"[1, 3, 0, 2]",0,155,0.00033800800156313926
HC,9,4,"[3, 0, 2, 1]",1,25,3.0753002647543326e-05
SA,9,4,"[1, 3, 0, 2]",0,158,0.0002568180025264155
GA,9,4,"[1, 3, 0, 2]",0,500,0.0010075560021505225
random,10,4,"[1, 3, 0, 2]",0,213,0.00042329799907747656
HC,10,4,"[0, 3, 3, 0]",2,13,1.657599932514131e-05
SA,10,4,"[2, 0, 3, 1]",0,58,9.280800077249296e-05
GA,10,4,"[1, 3, 0, 2]",0,500,0.001009565999993356
random,11,4,"[1, 3, 0, 2]",0,151,0.00029741800244664773
HC,11,4,"[2, 0, 3, 1]",0,25,2.6654000976122916e-05
SA,11,4,"[2, 0, 3, 1]",0,478,0.0007061600008455571
GA,11,4,"[1, 3, 0, 2]",0,500,0.0010018079992732964
random,12,4,"[1, 3, 0, 2]",0,99,0.00019796199921984226
HC,12,4,"[3, 0, 2, 1]",1,25,2.709299951675348e-05
SA,12,4,"[1, 3, 0, 2]",0,134,0.00020762999702128582
GA,12,4,"[1, 3, 0, 2]",0,500,0.0010222440032521263
random,13,4,"[2, 0, 3, 1]",0,139,0.00027596399741014466
HC,13,4,"[0, 2, 3, 1]",1,37,3.73010007024277e-05
SA,13,4,"[1, 3, 0, 2]",0,448,0.0006629410017922055
GA,13,4,"[2, 0, 3, 1]",0,500,0.0010086370020871982
random,14,4,"[1, 3, 0, 2]",0,63,0.00012717899880954064
HC,14,4,"[3, 1, 0, 2]",1,37,3.770100011024624e-05
SA,14,4,"[2, 0, 3, 1]",0,176,0.00026240699662594125
GA,14,4,"[1, 3, 0, 2]",0,500,0.0010030880002886988
random,15,4,"[2, 0, 3, 1]",0,178,0.0003521550024743192
HC,15,4,"[3, 0, 2, 1]",1,37,3.640100112534128e-05
SA,15,4,"[1, 3, 0, 2]",0,104,0.0001636400011193473
GA,15,4,"[2, 0, 3, 1]",0,500,0.0010055880011350382
random,16,4,"[1, 3, 0, 2]",0,91,0.0001817659976950381
HC,16,4,"[1, 3, 0, 2]",0,37,3.685100091388449e-05
SA,16,4,"[1, 3, 0, 2]",0,69,0.00010770400331239216
GA,16,4,"[1, 3, 0, 2]",0,500,0.0010012089987867512
random,17,4,"[1, 3, 0, 2]",0,159,0.00031524400037596934
HC,17,4,"[3, 0, 2, 1]",1,37,3.679200017359108e-05
SA,17,4,"[1, 3, 0, 2]",0,202,0.000303896998957498
GA,17,4,"[1, 3, 0, 2]",0,500,0.0010075570025946945
random,18,4,"[1, 3, 0, 2]",0,607,0.0011896329997398425
HC,18,4,"[2, 0, 3, 1]",0,37,3.762099731829949e-05
SA,18,4,"[2, 0, 3, 1]",0,229,0.00033856899972306564
GA,18,4,"[2, 0, 3, 1]",0,773,0.013860898001439637
random,19,4,"[1, 3, 0, 2]",0,61,0.00013155899796402082
HC,19,4,"[2, 0, 1, 3]",1,25,2.987200059578754e-05
SA,19,4,"[1, 3, 0, 2]",0,111,0.00017070900139515288
GA,19,4,"[1, 3, 0, 2]",0,500,0.001006326998322038
random,20,4,"[1, 3, 0, 2]",0,133,0.00027048499759985134
HC,20,4,"[1, 3, 0, 2]",0,13,1.8135000573238358e-05
SA,20,4,"[1, 3, 0, 2]",0,37,6.49050016363617e-05
GA,20,4,"[1, 3, 0, 2]",0,500,0.0010017380009230692
random,21,4,"[1, 3, 0, 2]",0,29,6.202499935170636e-05
HC,21,4,"[1, 3, 0, 2]",0,13,1.6866000805748627e-05
SA,21,4,"[2, 0, 3, 1]",0,6,1.8405000446364284e-05
GA,21,4,"[1, 3, 0, 2]",0,500,0.0010082469998451415
random,22,4,"[1, 3, 0, 2]",0,9,2.3894001060398296e-05
HC,22,4,"[1, 2, 0, 3]",1,25,2.7152997063240036e-05
SA,22,4,"[2, 0, 3, 1]",0,167,0.00024950000079115853
GA,22,4,"[1, 3, 0, 2]",0,500,0.0010034680017270148
random,23,4,"[2, 0, 3, 1]",0,43,9.003800005302764e-05
HC,23,4,"[3, 1, 0, 2]",1,37,3.7240999517962337e-05
SA,23,4,"[1, 3, 0, 2]",0,85,0.00013411799955065362
GA,23,4,"[2, 0, 3, 1]",0,500,0.0010034779988927767
